timestamp,id,vote
1689858910373,pFryA-eoKjo,2
1689858912481,jfepA8mene8,2
1689858913352,E6SPoFLZPo4,5
1689858913374,HIa-wKpi2Ns,4
1689858917326,_BgbEhplGwk,2
1689858917652,8iFrtzj9LaE,5
1689858917814,6TrEHtiHCqk,5
1689858921102,c-2CV78j4pY,3
1689858921153,XayIFBSoW4Q,2
1689858921798,yxJ0CPskfp0,5
1689858921994,ArRoXzL4O0M,5
1689858924041,vnRhA-xDbxE,3
1689858924940,FJeoJDCUlRo,3
1689858925767,MtIBgnn9RmM,5
1689858926427,15dxUoMORSM,5
1689858929339,OstxUz7jhj0,5
1689858929590,Gkh1h0-DvSI,2
1689858930619,ot3dcx-39M0,5
1689858931438,e9-zkvpTtWQ,5
1689858932011,VbJdb5-x9H0,5
1689858934516,uU9NfIKWee0,5
1689858934654,Mf4Ry-MmVFo,2
1689858935024,3x-1Y2QdIqU,5
1689858935169,HIa-wKpi2Ns,3
1689858935832,oGlZgxbmUYY,2
1689858937103,mIIUyFrg1cg,5
1689858938261,RrvAsnj_uWY,5
1689858938709,AoVqHwHOm6Y,4
1689858939619,_Zsnfggc-nk,2
1689858940787,Y8RpR6fdtH4,3
1689858942324,dCd-TP0GExM,5
1689858942946,TD0Gcz3Cmfc,5
1689858944037,NOUgND1F1Fs,2
1689858945102,cfJMt5Q97dA,5
1689858945965,UwVFUByLQPw,5
1689858947687,p5rktLMXxGQ,5
1689858949379,zmqLrEsSYIg,5
1689858949403,0SJyrpwlViU,2
1689858950555,2y2OM1qd6S0,5
1689858951792,j7VpAxQpk7g,5
1689858951859,k86GIHe6KcA,5
1689858952380,6yvE6uUtTjs,3
1689858955313,GU7C_3yVxFE,5
1689858955844,jJPmhXbgqpo,1
1689858956193,3c4TAws0iKE,5
1689858956811,E6wFN9t78Yg,2
1689858956877,wga2FeP4niU,5
1689858957262,ADjuaiUfeQE,4
1689858959889,iXlX5oQGWC4,5
1689858960060,Hr5ugAKA9ks,5
1689858961446,S0R41rZStzc,5
1689858961608,Yo-gPwgl5Ss,4
1689858962021,WFr8l9ytdV4,5
1689858962457,8MdgaUMx6x4,3
1689858963675,n26KHJu4SPk,2
1689858964243,GuqPqxCNCIE,3
1689858964415,x9xss8nU7H8,5
1689858964507,f4w5SXPBfV8,5
1689858964559,SCYVddk_9o0,5
1689858965373,iOIRXp44sjw,5
1689858966838,vClDUfrhFAk,5
1689858967396,tkhkaRCmbGI,3
1689858968647,UwKkSMSwg7w,5
1689858968938,8Ted0ZxohYk,1
1689858969175,Z3ubuNERxMw,5
1689858969589,bxRGea8eGKc,5
1689858971251,p7km4fGDf60,5
1689858972156,kc-KV_4VOEc,5
1689858972828,A6t71XEw-eE,5
1689858973334,H46VIxBopMM,4
1689858974015,hKPdnTsHiAw,5
1689858974335,4lZJZ4-nnnk,2
1689858976966,2kdUFlFtaRQ,4
1689858977714,yyAkwvWl5Gk,1
1689858979535,z2afFNPwuNs,5
1689858980989,jqs-tEnTD8M,2
1689858982055,NehdXq52ZLg,5
1689858982372,YbdnbtJsyqs,5
1689858983131,LUas8jstGgc,3
1689858984857,RHV3VP7vZik,5
1689858986269,sRtsNyXD9bo,3
1689858986605,0kP2V_PBh3w,5
